id,ecosystem,flag,package,malicious_versions,discovered_date,attack_category,technical_mechanism,registry_status_reported,registry_status_verified,source
110,Go,X-ECO,github.com/shopsprint/decimal,v1.3.3 (published Aug 2023),2023-08-01,typosquat + DNS-based backdoor,init()-injected backdoor using DNS TXT records for C2,proxy cache status unconfirmed; GitHub repo deleted,not verifiable from this environment (network restricted for RubyGems/Go/Maven) - see registry_status_reported,Socket; cyberpress
111,Go,X-ECO,github.com/boltdb-go/bolt,v1.3.1 (published Nov 2021),2025-02-04,typosquat + proxy-cache persistence + RCE backdoor,Go Module Proxy cached backdoored version; RCE and C2 beacon; persisted 3+ years,removed from Go proxy and GitHub,not verifiable from this environment (network restricted for RubyGems/Go/Maven) - see registry_status_reported,Socket Feb 2025; The Register
112,Go,X-ECO,github.com/qiniiu/qmgo,Jun 2025,2025-06-01,typosquat + MongoDB driver impersonation + persistent backdoor,fake MongoDB driver with remote administration capabilities,removed from proxy,not verifiable from this environment (network restricted for RubyGems/Go/Maven) - see registry_status_reported,GitLab detection blog 2025-06-30
113,Go,X-ECO,github.com/qiiniu/qmgo,Jun 2025,2025-06-05,typosquat re-publish after takedown,identical malicious code republished four days after first takedown,removed from proxy,not verifiable from this environment (network restricted for RubyGems/Go/Maven) - see registry_status_reported,GitLab detection blog 2025-06-30
114,Go,X-ECO,GOAST campaign modules,many across 12.3M index entries,2026-06-01,attacker-repackaged modules + import-triggered downloader,obfuscated code for import-triggered downloader; found via AST scan of Go module index,~99.4% remained retrievable via Go proxy until post-disclosure remediation,not verifiable from this environment (network restricted for RubyGems/Go/Maven) - see registry_status_reported,arXiv 2606.26291 Beyond Takedown
115,Maven,X-ECO,com.github.codingandcoding,3.9.0; 1.16; 1.17; 3.2.0,2021-01-07,brandjacking + backdoor,brandjacking supply-chain attack under legit-adjacent namespace,removed from Central by Sonatype,not verifiable from this environment (network restricted for RubyGems/Go/Maven) - see registry_status_reported,Sonatype blog Jan 2021
116,Maven,X-ECO,io.github.xz-java:xz-java,>=1.9 (published May 2024),2024-05-12,typosquat of XZ for Java + obfuscated RCE backdoor,receives and executes arbitrary shell commands via embedded backdoor,removed from Maven Central Dec 2024; still listed on MVNRepository,not verifiable from this environment (network restricted for RubyGems/Go/Maven) - see registry_status_reported,Socket writeup Dec 2024
117,Maven,X-ECO,io.github.leetcrunch:scribejava-core,8.3.5,2025-03-01,time-triggered OAuth credential theft,obfuscated OAuth-harvesting code triggers only on the 15th of each month,unconfirmed,not verifiable from this environment (network restricted for RubyGems/Go/Maven) - see registry_status_reported,Socket Tick Tock report Mar 2025
118,Maven,X-ECO,org.mvnpm:posthog-node,4.18.1,2025-11-25,cross-registry worm propagation,same setup_bun.js payload as npm wave; auto-mirrored from compromised npm package,purged from Maven Central Nov 25 2025,not verifiable from this environment (network restricted for RubyGems/Go/Maven) - see registry_status_reported,Socket; The Hacker News
119,Maven,X-ECO,org.fasterxml.jackson.core:jackson-databind,Dec 2025 publish,2025-12-29,namespace-prefix-swap typosquat + trojan downloader,multi-stage payload delivering platform-specific Cobalt Strike executables,removed within 1.5 hours of report,not verifiable from this environment (network restricted for RubyGems/Go/Maven) - see registry_status_reported,Aikido; Socket
84,PyPI,X-ECO,ctx,0.2.4,2022-06-14,compromised maintainer (social-engineered takeover),postinstall CGI script exfiltrated AWS keys and environment variables to attacker DNS,removed (yanked),VERIFIED: deleted/removed (404 from PyPI API),PyPI incident report; GHSA
85,PyPI,X-ECO,W4SP Stealer family,many Aug 2022 onward,2022-08-01,typosquat cluster + credential stealer,injected into legit-looking libs; stole browser cookies/passwords/Discord tokens/crypto wallets,mostly removed; thousands of variants tracked,unconfirmed (HTTP None),ReversingLabs colourama campaign writeups
86,PyPI,X-ECO,torchtriton,0.1.0,2022-12-30,dependency confusion (nightly extra-index-url),malicious wheel published for nightly-only package name; exfiltrated basic host data,deleted; name blocked on PyPI,VERIFIED: deleted/removed (404 from PyPI API),PyTorch official disclosure; GHSA-8hpj-pmqr-r2fm
89,PyPI,X-ECO,VMConnect,various,2023-10-01,typosquat cluster + remote code loader,imitated VMware vSphere connector; executed code from attacker-controlled URL on install,removed from PyPI,VERIFIED: deleted/removed (404 from PyPI API),Sonatype PaperPin campaign report
90,PyPI,X-ECO,solana-py,uploads 2024,2024-01-01,typosquat of solana-py + crypto wallet theft,ideal typosquat of Solana Python SDK; stole crypto wallet material,removed,VERIFIED: deleted/removed (404 from PyPI API),Sonatype SSCR 2024
88,PyPI,X-ECO,aiocpa,0.1.13; 0.1.14,2024-11-21,compromised legitimate package + crypto key exfiltration,obfuscated blob overrode CryptoPay constructor on import; exfiltrated tokens/private keys to Telegram bot,all versions removed from PyPI,VERIFIED: deleted/removed (404 from PyPI API),Phylum; ReversingLabs; PyPI blog 2024-11-25
87,PyPI,X-ECO,ultralytics,8.3.41; 8.3.42,2024-12-01,poisoned build pipeline + cryptominer,malicious GitHub Actions run published trojanized releases; launched XMRig cryptominer,removed,VERIFIED: package live on PyPI (810 releases),Socket; Ultralytics GHSA
91,PyPI,X-ECO,solana-stealer-wave,uploads May 4-24 2025,2025-06-01,crypto secret theft,steals Python source files and Solana key material; exfiltrates to external server,removed,VERIFIED: deleted/removed (404 from PyPI API),The Hacker News roundup 2025-06-04
92,PyPI,X-ECO,telnyx,4.87.1; 4.87.2,2026-03-27,compromised publish pipeline + audio-steganography stager,audioimport() extracted payload from audio steganography; in-memory harvester,quarantined by PyPI (still listed),VERIFIED: package live on PyPI (256 releases),Socket TeamPCP report; Aikido
93,PyPI,X-ECO,lightning,2.6.2; 2.6.3,2026-04-30,compromised package + import-time downloader,hidden obfuscated JS launched via daemon thread on import; stole tokens/env/cloud secrets,removed,VERIFIED: package live on PyPI (171 releases),Socket
94,PyPI,X-ECO,ensmallen,0.8.101,2026-06-23,Bun-runtime JS stealer via .pth startup,part of Hades campaign wheel set,unconfirmed,VERIFIED: package live on PyPI (120 releases),Orca Security Hades report
95,PyPI,X-ECO,mflux-streamlit,0.0.3; 0.0.4,2026-06-23,Bun-runtime JS stealer via .pth startup,part of Hades campaign wheel set,unconfirmed,VERIFIED: package live on PyPI (2 releases),Orca Security Hades report
96,PyPI,X-ECO,nhmpy,2.4.7,2026-06-23,Bun-runtime JS stealer via .pth startup,part of Hades campaign wheel set,unconfirmed,VERIFIED: deleted/removed (404 from PyPI API),Orca Security Hades report
